symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,White Plains, New York,2011-11-01
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,Schaffhausen, Switzerland,2011-10-17
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,Tampa, Florida,2011-09-26
ACN,Accenture,Information Technology,IT Consulting & Other Services,Dublin, Ireland,2011-07-06
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,Findlay, Ohio,2011-07-01
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Newport Beach, California,2011-04-28
BLK,BlackRock,Financials,Asset Management & Custody Banks,New York City, New York,2011-04-04
EW,Edwards Lifesciences,Health Care,Health Care Equipment,Irvine, California,2011-04-01
FFIV,"F5, Inc.",Information Technology,Communications Equipment,Seattle, Washington,2010-12-20
NFLX,Netflix,Communication Services,Movies & Entertainment,Los Gatos, California,2010-12-20
TT,Trane Technologies,Industrials,Building Products,Dublin, Ireland,2010-11-17
JCI,Johnson Controls,Industrials,Building Products,Cork, Ireland,2010-08-27
CB,Chubb Limited,Financials,Property & Casualty Insurance,Zurich, Switzerland,2010-07-15
KMX,CarMax,Consumer Discretionary,Automotive Retail,Richmond, Virginia,2010-06-28
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,Tulsa, Oklahoma,2010-03-15
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,Omaha, Nebraska,2010-02-16
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,Houston, Texas,2010-01-29
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,Sarasota, Florida,2009-12-23
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,Dublin, California,2009-12-21
V,Visa Inc.,Financials,Transaction & Payment Processing Services,San Francisco, California,2009-12-21
BKNG,Booking Holdings,Consumer Discretionary,Hotels, Restaurants & Leisure,Norwalk, Connecticut
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,Philadelphia, Pennsylvania,2009-08-19
PWR,Quanta Services,Industrials,Construction & Engineering,Houston, Texas,2009-07-01
WDC,Western Digital,Information Technology,Technology Hardware, Storage & Peripherals,San Jose, California
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,Springfield, Missouri,2009-03-27
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,Austin, Minnesota,2009-03-04
VTR,Ventas,Real Estate,Health Care REITs,Chicago, Illinois,2009-03-04
WELL,Welltower,Real Estate,Health Care REITs,Toledo, Ohio,2009-01-30
IRM,Iron Mountain,Real Estate,Other Specialized REITs,Boston, Massachusetts,2009-01-06
ES,Eversource,Utilities,Multi-Utilities,Hartford, Connecticut,2009
RSG,Republic Services,Industrials,Environmental & Facilities Services,Phoenix, Arizona,2008-12-05
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,Paradise, Nevada,2008-11-14
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,Charlotte, North Carolina,2008-11-14
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,Orrville, Ohio,2008-11-06
WEC,WEC Energy Group,Utilities,Electric Utilities,Milwaukee, Wisconsin,2008-10-31
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,New York City, New York,2008-10-22
APH,Amphenol,Information Technology,Electronic Components,Wallingford, Connecticut,2008-09-30
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,Irving, Texas,2008-09-24
LHX,L3Harris,Industrials,Aerospace & Defense,Melbourne, Florida,2008-09-22
CRM,Salesforce,Information Technology,Application Software,San Francisco, California,2008-09-15
FAST,Fastenal,Industrials,Building Products,Winona, Minnesota,2008-09-15
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,Deerfield, Illinois,2008-08-27
IVZ,Invesco,Financials,Asset Management & Custody Banks,Atlanta, Georgia,2008-08-21
DVA,DaVita Inc.,Health Care,Health Care Facilities,Denver, Colorado,2008-07-31
MA,Mastercard,Financials,Transaction & Payment Processing Services,Harrison, New York,2008-07-18
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,Houston, Texas,2008-06-23
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,Sunnyvale, California,2008-06-02
PEAK,Healthpeak,Real Estate,Health Care REITs,Long Beach, California,2008-03-31
PM,Philip Morris International,Consumer Staples,Tobacco,New York City, New York,2008-03-31
AMT,American Tower,Real Estate,Telecom Tower REITs,Boston, Massachusetts,2007-11-19
J,Jacobs Solutions,Industrials,Construction & Engineering,Dallas, Texas,2007-10-26
EXPD,Expeditors International,Industrials,Air Freight & Logistics,Seattle, Washington,2007-10-10
EXPE,Expedia Group,Consumer Discretionary,Hotels, Restaurants & Leisure,Seattle, Washington
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,Atlanta, Georgia,2007-09-26
MCHP,Microchip Technology,Information Technology,Semiconductors,Chandler, Arizona,2007-09-07
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Cambridge, Massachusetts,2007-07-12
DFS,Discover Financial,Financials,Consumer Finance,Riverwoods, Illinois,2007-07-02
AIZ,Assurant,Financials,Multi-line Insurance,New York City, New York,2007-04-10
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,Bethesda, Maryland,2007-03-20
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,Eden Prairie, Minnesota,2007-03-02
RL,Ralph Lauren Corporation,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York City, New York
AVB,AvalonBay Communities,Real Estate,Residential REITs,Arlington, Virginia,2007-01-10
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,Teaneck, New Jersey,2006-11-17
CBRE,CBRE Group,Real Estate,Real Estate Services,Dallas, Texas,2006-11-10
FIS,FIS,Financials,Transaction & Payment Processing Services,Jacksonville, Florida,2006-11-10
CME,CME Group,Financials,Financial Exchanges & Data,Chicago, Illinois,2006-08-11
JNPR,Juniper Networks,Information Technology,Communications Equipment,Sunnyvale, California,2006-06-02
KIM,Kimco Realty,Real Estate,Retail REITs,New Hyde Park, New York,2006-04-04
BXP,Boston Properties,Real Estate,Office REITs,Boston, Massachusetts,2006-04-03
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Mountain View, California,2006-04-03
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,Dulles, Virginia,2006-02-01
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,New York City, New York,2006-01-05
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Seattle, Washington,2005-11-18
LEN,Lennar,Consumer Discretionary,Homebuilding,Miami, Florida,2005-10-04
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minneapolis, Minnesota,2005-10-03
PSA,Public Storage,Real Estate,Self-Storage REITs,Glendale, California,2005-08-19
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,Springdale, Arkansas,2005-08-10
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,Victor, New York,2005-07-01
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,Arlington, Texas,2005-06-22
LH,LabCorp,Health Care,Health Care Services,Burlington, North Carolina,2004-11-01
TPR,"Tapestry, Inc.",Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York City, New York
,1116132,2017,,,,
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,Waltham, Massachusetts,2004-08-03
GILD,Gilead Sciences,Health Care,Biotechnology,Foster City, California,2004-07-01
VTRS,Viatris,Health Care,Pharmaceuticals,Pittsburgh, Pennsylvania,2004-04-23
MTB,M&T Bank,Financials,Regional Banks,Buffalo, New York,2004-02-23
BIIB,Biogen,Health Care,Biotechnology,Cambridge, Massachusetts,2003-11-13
PLD,Prologis,Real Estate,Industrial REITs,San Francisco, California,2003-07-17
GEN,Gen Digital,Information Technology,Application Software,Tempe, Arizona,2003-03-25
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,Hunt Valley, Maryland,2003-03-20
STT,State Street Corporation,Financials,Asset Management & Custody Banks,Boston, Massachusetts,2003-03-14
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,San Antonio, Texas,2002-12-20
DGX,Quest Diagnostics,Health Care,Health Care Services,Secaucus, New Jersey,2002-12-12
CMCSA,Comcast,Communication Services,Cable & Satellite,Philadelphia, Pennsylvania,2002-11-19
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,New York City, New York,2002-08-21
ELV,Elevance Health,Health Care,Managed Health Care,Indianapolis, Indiana,2002-07-25
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,Redwood City, California,2002-07-22
EBAY,eBay,Consumer Discretionary,Broadline Retail,San Jose, California,2002-07-22
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,New York City, New York,2002-07-22
PFG,Principal Financial Group,Financials,Life & Health Insurance,Des Moines, Iowa,2002-07-22
PRU,Prudential Financial,Financials,Life & Health Insurance,Newark, New Jersey,2002-07-22
UPS,United Parcel Service,Industrials,Air Freight & Logistics,Sandy Springs, Georgia,2002-07-22
SPG,Simon Property Group,Real Estate,Retail REITs,Indianapolis, Indiana,2002-06-26
WAT,Waters Corporation,Health Care,Health Care Distributors,Milford, Massachusetts,2002-01-02
EQR,Equity Residential,Real Estate,Residential REITs,Chicago, Illinois,2001-12-03
NVDA,Nvidia,Information Technology,Semiconductors,Santa Clara, California,2001-11-30
PPL,PPL Corporation,Utilities,Electric Utilities,Allentown, Pennsylvania,2001-10-01
ABC,AmerisourceBergen,Health Care,Health Care Distributors,Conshohocken, Pennsylvania,2001-08-30
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,Warsaw, Indiana,2001-08-07
ZION,Zions Bancorporation,Financials,Regional Banks,Salt Lake City, Utah,2001-06-22
FI,Fiserv,Financials,Transaction & Payment Processing Services,Brookfield, Wisconsin,2001-04-02
CTAS,Cintas,Industrials,Diversified Support Services,Mason, Ohio,2001-03-01
SRE,Sempra Energy,Utilities,Multi-Utilities,San Diego, California,2001?
SYK,Stryker Corporation,Health Care,Health Care Equipment,Kalamazoo, Michigan,2000-12-12
MET,MetLife,Financials,Life & Health Insurance,New York City, New York,2000-12-11
INTU,Intuit,Information Technology,Application Software,Mountain View, California,2000-12-05
RHI,Robert Half,Industrials,Human Resource & Employment Services,Menlo Park, California,2000-12-05
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,Houston, Texas,2000-11-02
NI,NiSource,Utilities,Multi-Utilities,Merrillville, Indiana,2000-11-02
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,Oklahoma City, Oklahoma,2000-08-30
SBUX,Starbucks,Consumer Discretionary,Restaurants,Seattle, Washington,2000-06-07
A,Agilent Technologies,Health Care,Health Care Equipment,Santa Clara, California,2000-06-05
ADI,Analog Devices,Information Technology,Semiconductors,Wilmington, Massachusetts,1999-10-12
PNW,Pinnacle West,Utilities,Multi-Utilities,Phoenix, Arizona,1999-10-04
QCOM,Qualcomm,Information Technology,Semiconductors,San Diego, California,1999-07-22
VMC,Vulcan Materials Company,Materials,Construction Materials,Birmingham, Alabama,1999-06-30
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Richfield, Minnesota,1999-06-29
NTAP,NetApp,Information Technology,Technology Hardware, Storage & Peripherals,San Jose, California
AFL,Aflac,Financials,Life & Health Insurance,Columbus, Georgia,1999-05-28
MCK,McKesson,Health Care,Health Care Distributors,Irving, Texas,1999-01-13
CCL,Carnival,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Miami, Florida
DHR,Danaher Corporation,Health Care,Health Care Equipment,Washington, D.C.,1998-11-18
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia,1998-10-02
PAYX,Paychex,Industrials,Human Resource & Employment Services,Penfield, New York,1998-10-01
RF,Regions Financial Corporation,Financials,Regional Banks,Birmingham, Alabama,1998-08-28
COF,Capital One,Financials,Consumer Finance,Tysons Corner, Virginia,1998-07-01
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,New York City, New York,1998-07-01
MAR,Marriott International,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Bethesda, Maryland
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,San Mateo, California,1998-04-30
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,Chicago, Illinois,1998-01-30
OMC,Omnicom Group,Communication Services,Advertising,New York City, New York,1997-12-31
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,Fairfield, Ohio,1997-12-18
TFC,Truist,Financials,Regional Banks,Charlotte, North Carolina,1997-12-04
FE,FirstEnergy,Utilities,Electric Utilities,Akron, Ohio,1997-11-28
YUM,Yum! Brands,Consumer Discretionary,Restaurants,Louisville, Kentucky,1997-10-06
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,Milpitas, California,1997-09-30
HBAN,Huntington Bancshares,Financials,Regional Banks,Columbus, Ohio; Detroit, Michigan
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,Mayfield Village, Ohio,1997-08-04
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Houston, Texas,1997-07-28
EFX,Equifax,Industrials,Research & Consulting Services,Atlanta, Georgia,1997-06-19
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,Westlake, Texas,1997-06-02
CAH,Cardinal Health,Health Care,Health Care Distributors,Dublin, Ohio,1997-05-27
ADBE,Adobe Inc.,Information Technology,Application Software,San Jose, California,1997-05-05
AZO,AutoZone,Consumer Discretionary,Specialty Stores,Memphis, Tennessee,1997-01-02
AON,Aon,Financials,Insurance Brokers,London, UK,1996-04-23
FITB,Fifth Third Bank,Financials,Regional Banks,Cincinnati, Ohio,1996-03-29
CMA,Comerica,Financials,Diversified Banks,Dallas, Texas,1995-12-01
ALL,Allstate,Financials,Property & Casualty Insurance,Glenview, Illinois,1995-07-13
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,Orlando, Florida,1995-05-31
L,Loews Corporation,Financials,Multi-line Insurance,New York City, New York,1995-05-31
BK,BNY Mellon,Financials,Asset Management & Custody Banks,New York City, New York,1995-03-31
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Santa Clara, California,1995-03-16
GLW,Corning Inc.,Information Technology,Electronic Components,Corning, New York,1995-02-27
BSX,Boston Scientific,Health Care,Health Care Equipment,Marlborough, Massachusetts,1995-02-24
PARA,Paramount Global,Communication Services,Movies & Entertainment,New York City, New York,1994-09-30
MU,Micron Technology,Information Technology,Semiconductors,Boise, Idaho,1994-09-27
LUV,Southwest Airlines,Industrials,Passenger Airlines,Dallas, Texas,1994-07-01
UNH,UnitedHealth Group,Health Care,Managed Health Care,Minnetonka, Minnesota,1994-07-01
MSFT,Microsoft,Information Technology,Systems Software,Redmond, Washington,1994-06-01
KEY,KeyCorp,Financials,Regional Banks,Cleveland, Ohio,1994-03-01
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,Kingsport, Tennessee,1994-01-01
CSCO,Cisco,Information Technology,Communications Equipment,San Jose, California,1993-12-01
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,Issaquah, Washington,1993-10-01
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,New York City, New York,1993-07-29
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,New York City, New York,1992-10-01
LIN,Linde plc,Materials,Industrial Gases,Guildford, United Kingdom,1992-07-01
AMGN,Amgen,Health Care,Biotechnology,Thousand Oaks, California,1992-01-02
AEE,Ameren,Utilities,Multi-Utilities,St. Louis, Missouri,1991-09-19
ADSK,Autodesk,Information Technology,Application Software,San Francisco, California,1989-12-01
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,Battle Creek, Michigan,1989-09-11
ORCL,Oracle Corporation,Information Technology,Application Software,Austin, Texas,1989-08-31
GL,Globe Life,Financials,Life & Health Insurance,McKinney, Texas,1989-04-30
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,Atlanta, Georgia,1989-04-30
ECL,Ecolab,Materials,Specialty Chemicals,Saint Paul, Minnesota,1989-01-31
NKE,"Nike, Inc.",Consumer Discretionary,Apparel, Accessories & Luxury Goods,Washington County, Oregon
C,Citigroup,Financials,Diversified Banks,New York City, New York,1988-05-31
PNC,PNC Financial Services,Financials,Regional Banks,Pittsburgh, Pennsylvania,1988-04-30
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,Atlanta, Georgia,1988-03-31
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Glendale, California,1987-12-31
MMC,Marsh McLennan,Financials,Insurance Brokers,New York City, New York,1987-08-31
SYY,Sysco,Consumer Staples,Food Distributors,Houston, Texas,1986-12-31
MDT,Medtronic,Health Care,Health Care Equipment,Dublin, Ireland,1986-10-31
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,Glenview, Illinois,1986-02-28
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,Cleveland, Ohio,1985-11-30
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,Downers Grove, Illinois,1985-10-31
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,Framingham, Massachusetts,1985-09-30
CNP,CenterPoint Energy,Utilities,Multi-Utilities,Houston, Texas,1985-07-31
RVTY,Revvity,Health Care,Health Care Equipment,Waltham, Massachusetts,1985-05-31
APD,Air Products and Chemicals,Materials,Industrial Gases,Allentown, Pennsylvania,1985-04-30
NUE,Nucor,Materials,Steel,Charlotte, North Carolina,1985-04-30
BALL,Ball Corporation,Materials,Metal, Glass & Plastic Containers,Broomfield, Colorado
HAS,Hasbro,Consumer Discretionary,Leisure Products,Pawtucket, Rhode Island,1984-09-30
